"network","park","plot_name","plot_number","x_coord","y_coord","mean.lat","lat.rank","year","cycle","guild","plot.freq","avg.quad.r","avg.cover","quad.freq","qpct.freq","num.plot.spp"
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2010,1,"Graminoid",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2010,1,"Herbaceous",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2010,1,"Shrub",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2010,1,"Tree",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2014,2,"Graminoid",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2014,2,"Herbaceous",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2014,2,"Shrub",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2014,2,"Tree",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2018,3,"Graminoid",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2018,3,"Herbaceous",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2018,3,"Shrub",0,0,0,0,0,0
"NETN","ACAD","ACAD-001",1,574066,4913328,4905413.5752381,28,2018,3,"Tree",0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,28,2010,1,"Graminoid",0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,28,2010,1,"Herbaceous",0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,28,2010,1,"Shrub",0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,28,2010,1,"Tree",0,0,0,0,0,0
"NETN","ACAD","ACAD-002",2,575371,4911411,4905413.5752381,28,2014,2,"Graminoid",0,0,0,0,0,0
